page,2019-02 pi,2019-02 v,2019-03 pi,2019-03 v,2019-04 pi,2019-04 v,2019-05 pi,2019-05 v,2019-06 pi,2019-06 v,2019-07 pi,2019-07 v,2019-08 pi,2019-08 v,2019-09 pi,2019-09 v,2019-10 pi,2019-10 v,2019-11 pi,2019-11 v,2019-12 pi,2019-12 v,2020-01 pi,2020-01 v,2020-02 pi,2020-02 v,2020-03 pi,2020-03 v,2020-04 pi,2020-04 v,2020-05 pi,2020-05 v,2020-06 pi,2020-06 v,2020-07 pi,2020-07 v,2020-08 pi,2020-08 v,2020-09 pi,2020-09 v,2020-10 pi,2020-10 v,2020-11 pi,2020-11 v,2020-12 pi,2020-12 v,2021-01 pi,2021-01 v,2021-02 pi,2021-02 v,2021-03 pi,2021-03 v,2021-04 pi,2021-04 v
covid-19-fälle-im-land-berlin-7tage-inzidenz-nach-altersgruppen-und-meldewochen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,38,,,,,,,653,519,982,792
covid-19-berlin-verteilung-den-bezirken-gesamtübersicht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106,698,5095,4040,1057,858,601,494,783,619,608,489,702,535,855,654
covid-19-berlin-verteilung-den-bezirken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,71,248,216,148,134,148,100,537,185,758,484,3059,2470,574,459,516,415,436,354,375,306,654,512,623,507
covid-19-berlin-fallzahlen-und-indikatoren-gesamtübersicht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,303,404,341,462,386,446,372,535,441
covid-19-fälle-im-land-berlin-verteilung-nach-altersgruppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,62,148,131,88,79,134,85,256,122,652,380,2590,2102,702,560,422,333,413,348,328,266,424,333,446,356
liste-der-häufigen-vornamen-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363,2310,405,292,732,554,413,301
geometrien-der-wahlbezirke-für-die-wahlen-zur-bundestagswahl-berlin-und-zum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,31,143,95
alkis-berlin-amtliches-liegenschaftskatasterinformationssystem-wms,,,,,,,,,,,,,8,7,1,1,14,13,42,35,61,50,81,69,92,78,133,112,150,134,159,138,209,180,284,184,328,156,303,145,100,80,111,86,73,62,132,112,141,111,111,97,111,93
städtebauliche-dichte-gfzgrz-2019-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,6,6,40,34,61,58,47,45,47,44,47,41,62,53,39,36,59,41,106,47,48,21,16,15,14,14,16,16,35,32,29,26,32,28,78,58
openstreetmap-daten-für-berlin,134,109,198,172,217,191,173,152,105,94,151,133,177,158,179,156,192,175,189,155,127,113,400,335,231,206,183,151,186,159,186,154,170,150,184,117,271,121,165,90,60,46,58,51,88,73,73,57,58,46,67,60,64,57
vbb-fahrplandaten-gtfs,154,129,161,133,140,121,184,151,116,99,120,98,172,136,366,239,335,294,685,562,656,570,668,588,633,553,880,776,644,586,206,184,135,113,156,99,1,1,111,58,106,86,84,63,113,89,87,72,82,73,79,68,59,54
berlin-um-1900-aisber-wms,,,,,,,,,,,,,26,22,51,44,55,51,93,77,81,74,69,65,68,60,61,56,69,61,97,80,55,46,62,51,132,57,118,54,39,37,47,44,73,64,76,69,53,50,49,45,59,52
digitale-farbige-orthophotos-2020-dop20rgb-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,38,50,44
geometrien-der-wahlkreise-für-die-wahl-zum-abgeordnetenhaus-von-berlin-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10,10,56,43
tempolimits-wms-2,,,,,,,,,,,,,,,5,4,4,4,4,3,,,2,2,1,1,,,,,,,2,2,,,1,1,,,5,5,4,4,14,11,12,10,27,24,38,36,43,35
liste-der-häufigen-vornamen-2017,181,145,68,52,68,62,226,201,62,55,55,50,62,54,37,32,57,45,47,44,42,39,80,66,28,26,27,21,26,21,71,61,16,14,31,26,81,18,58,35,159,129,146,123,197,167,186,154,38,31,63,49,37,34
liste-der-häufigen-vornamen-2019,,,,,,,5,4,,,1,1,,,,,,,,,1,1,2454,1983,680,542,359,302,363,307,1123,855,447,332,630,319,1079,334,696,269,189,146,105,81,172,113,358,256,46,39,68,49,40,32
geometrien-der-wahlbezirke-für-die-wahlen-zum-deutschen-bundestag-berlin-und-zum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,30
straßenbefahrung-2014-recycling-container-wfs-0,,,,,,,,,,,,,1,1,,,2,2,1,1,7,7,7,6,7,7,11,7,10,10,12,10,12,12,9,7,4,4,13,9,9,9,11,11,22,19,13,12,2,2,25,21,33,30
lod2-gebäudedaten-berlin,81,72,97,81,114,100,123,109,146,136,127,114,102,87,154,135,148,128,143,123,89,77,116,101,103,91,85,75,97,84,98,82,79,71,105,70,150,70,94,46,32,30,33,28,25,24,47,39,39,36,34,28,33,29
standorte-der-öffentlichen-toiletten,,,,,,,,,,,,,,,,,,,,,69,37,78,68,100,80,127,82,72,61,51,33,43,37,35,29,57,19,56,31,64,29,55,42,32,24,55,38,50,34,35,26,93,28
berlin-um-1940-wms,,,,,,,,,,,,,10,7,15,15,1,1,2,2,5,5,6,6,2,2,8,8,4,4,8,8,31,28,31,30,15,6,22,10,17,14,16,16,51,45,58,49,32,29,23,22,29,28
vbb-fahrplandaten-api-0,73,65,121,106,98,80,98,78,135,119,129,108,132,114,157,137,208,185,128,109,114,102,178,160,123,102,72,66,87,69,62,53,55,51,48,43,71,40,56,36,29,22,33,32,40,35,34,27,16,16,24,22,26,25
einwohnerregister-berlin,12,8,1,1,5,5,5,5,6,6,6,5,7,7,5,5,21,15,5,5,11,10,12,11,2,2,2,2,9,8,4,4,4,4,5,5,3,2,2,1,38,35,76,61,50,46,58,55,50,38,41,33,30,24
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,119,46,148,67,42,36,50,42,42,33,39,28,42,34,41,32,31,23
blockkarte-1-5000-isu5-raumbezug-umweltatlas-2015-wms,2,2,3,3,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23
straßenbefahrung-2014-wms-1,,,,,,,,,,,,,4,4,25,21,31,27,38,35,25,24,45,37,30,29,33,30,46,43,44,38,35,33,66,43,109,55,36,22,25,24,8,8,22,17,27,25,11,11,22,17,24,23
einwohnerinnen-und-einwohner-mit-migrationshintergrund-berlin-lor-planungsräumen-nach-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,24,136,50,22,13,24,20,26,20,30,25,68,44,16,15,24,22
straßenbefahrung-2014-hydrant-wfs-0,,,,,,,,,,,,,20,15,17,14,17,15,22,21,25,20,25,17,19,15,17,15,32,29,23,20,45,42,42,29,159,53,62,29,11,11,12,11,12,9,26,16,12,12,11,11,27,21
emobility-ladestationen-berlin,8,7,24,21,46,36,21,21,12,12,16,14,20,16,28,25,39,38,23,22,31,24,32,30,25,23,17,12,12,11,18,16,38,30,28,22,24,10,33,15,20,20,21,19,32,24,33,30,20,17,12,11,21,21
koordinaten-der-zugangsmöglichkeiten-zu-stationen-0,28,24,36,31,63,55,47,39,27,26,59,48,48,44,38,34,33,31,42,39,23,17,76,69,65,55,55,51,2,1,38,35,27,21,38,23,53,27,42,30,37,34,28,25,26,25,27,24,20,20,24,23,19,19
schulen-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,52,36,26,65,28,37,21,10,10,28,24,12,11,16,12,22,20,16,13,19,19
kitas-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,50,43,30,59,42,104,28,76,59,313,250,26,22,27,19,58,46,18,16,27,20,26,18
bsr-straßenreinigung-verzeichnisse-und-reinigungsklassen,73,50,83,54,57,43,81,63,70,50,77,55,95,69,70,52,74,55,125,90,48,40,137,104,109,78,36,28,43,33,27,22,76,56,110,61,80,35,86,38,79,56,72,53,1,1,112,73,75,57,57,43,24,18
liste-der-verbannten-bücher-0,40,35,63,57,49,43,58,47,32,31,48,36,43,39,46,41,57,43,56,50,46,35,43,37,42,31,31,26,30,28,40,35,33,30,18,15,42,23,52,35,17,14,17,15,25,22,46,32,17,16,31,22,22,18
alkis-berlin-flurstücke-wfs,,,,,,,,,,,,,11,10,21,20,12,12,17,16,7,6,26,22,27,25,40,36,39,36,41,33,37,33,30,25,42,22,31,18,12,12,33,28,13,12,41,35,44,37,42,36,21,18
kriminalitätsatlas-berlin,43,39,51,47,59,56,41,37,55,46,46,41,59,53,72,64,81,79,60,55,40,36,35,32,27,26,31,30,24,22,19,18,30,25,30,20,16,10,14,8,7,7,6,6,10,10,5,5,5,5,22,20,21,17
berlin-um-1800-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17
rahmenvertrag-über-den-aufbau-und-betrieb-eines-elektronischen-stadtinformationssystems,9,9,24,23,35,25,20,18,15,14,24,22,24,23,21,21,22,18,74,66,17,16,28,28,14,13,21,19,14,14,15,14,11,10,22,13,22,12,29,11,15,14,11,11,11,9,11,11,8,7,12,10,20,16
strassenverkehrsunfälle-nach-unfallort-berlin-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,434,19,16,31,26,25,20,5,5,20,16
behindertenparkplätze-im-bezirk-friedrichshain-kreuzberg,,,,,,,,,6,6,18,13,23,16,11,11,13,13,2,2,6,6,7,7,3,3,4,4,2,2,3,3,7,5,1,1,25,10,50,12,3,3,4,3,2,2,1,1,1,1,23,5,19,16
14-radrouten-und-radverkehrsanlagen-gps-tracks-für-die-radrouten-durch-berlin,7,7,29,22,32,29,41,34,9,8,21,19,25,23,27,18,11,10,11,11,7,7,26,20,15,14,21,20,19,14,33,28,60,52,61,46,164,60,179,68,29,26,10,10,2,2,12,11,13,12,6,6,19,16
städtebauliche-dichte-grundflächenzahl-grz-2019-umweltatlas-wms,,,,,,,,,,,,,,,,,,,5,4,11,11,17,15,15,12,21,19,16,16,16,16,14,14,17,13,28,10,7,4,15,11,4,4,12,11,15,11,8,8,15,10,19,16
flächennutzung-stadtstruktur-2015-und-versiegelung-2016-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16
deutsche-digitale-bibliothek-ddb-api,7,6,14,12,41,31,35,28,22,15,39,34,12,9,26,24,60,51,14,11,13,13,52,43,21,18,23,21,42,37,51,46,30,26,29,22,86,47,35,21,4,4,12,9,9,7,18,10,23,17,14,12,20,15
verlauf-der-berliner-mauer-1989-wms-1,,,,,,,,,,,,,1,1,,,7,7,26,25,7,7,10,8,16,15,9,7,12,12,9,9,15,15,35,27,23,18,20,14,26,25,7,7,15,14,75,69,17,17,11,11,18,15
kurse-der-berliner-volkshochschulen,,,,,,,,,,,,,,,,,69,57,24,22,16,11,28,23,33,31,16,15,19,17,17,16,7,7,8,7,15,7,9,5,,,5,5,5,5,13,7,3,3,7,7,17,15
liste-der-stolpersteine-berlin,17,17,31,30,13,13,19,16,20,18,27,24,14,12,15,14,13,13,25,23,13,13,21,20,17,14,6,6,9,9,8,8,7,7,7,5,13,8,17,10,5,5,13,11,4,3,6,6,3,3,5,4,17,15
alkis-berlin-relief-geländekante-wfs,,,,,,,,,,,,,2,2,3,3,1,1,1,1,1,1,2,2,3,3,,,2,2,,,1,1,2,1,,,2,1,,,,,,,1,1,,,,,16,14
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2019-wms,,,,,,,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14
polizeidirektionen-und-abschnitte-wms,,,,,,,,,,,,,,,3,3,1,1,7,6,1,1,3,3,8,4,6,5,4,3,12,5,8,7,22,7,14,7,14,7,9,7,8,6,13,11,9,9,18,15,15,13,18,13
straßenverzeichnis,19,16,31,25,69,59,41,31,45,41,48,45,56,35,59,48,24,20,29,28,21,15,42,31,39,29,43,29,49,43,38,33,39,32,27,22,87,46,34,22,16,13,16,12,21,15,9,9,30,22,13,12,15,13
liste-der-diplomaten-kennzeichen-d,28,22,30,29,37,31,45,41,26,24,29,26,29,26,21,21,28,25,29,24,22,17,31,27,28,24,13,13,18,14,18,17,19,17,13,10,18,9,30,16,23,18,6,6,14,13,9,7,14,14,11,10,15,13
flurstücke-im-inspire-datenmodell-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13
berlin-um-1800-wms,,,,,,,,,,,,,4,3,1,1,1,1,6,6,5,5,10,8,2,2,8,8,10,9,7,7,17,17,9,8,2,1,10,7,7,6,6,6,5,5,6,6,5,5,8,7,13,13
bundesfernstraßen-wms,,,,,,,,,,,,,1,1,4,4,12,9,8,8,7,7,12,10,4,3,6,6,8,8,8,8,16,14,24,12,25,12,28,13,9,8,5,5,7,7,2,2,23,21,8,8,16,12
senatsvorlagen-der-senatsverwaltung-für-finanzen,49,43,90,67,69,52,66,56,67,57,61,56,58,50,47,40,69,50,69,61,38,36,34,31,35,29,24,21,34,28,29,26,24,19,45,28,41,14,30,17,18,18,28,24,16,14,9,8,12,10,23,17,15,12
lisa-ll-studie-berlin-mitte-lebensqualität-interessen-selbständigkeit-im-alter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12
alkis-berlin-sw-amtliches-liegenschaftskatasterinformationssystem-wms,,,,,,,,,,,,,23,18,14,13,1,1,4,4,3,2,19,18,61,54,4,3,17,15,27,23,8,8,17,9,14,7,22,10,8,7,4,4,2,2,6,5,3,3,4,4,13,12
einwohnerdichte-2016-umweltatlas-wms-2,,,,,,,,,,,,,,,8,8,24,19,22,21,24,22,19,19,26,22,31,29,23,22,24,22,13,11,22,10,39,23,19,10,28,23,13,12,11,9,16,14,12,10,10,8,12,12
das-humboldt-netz-berlin-–-humboldtiana-im-stadtmuseum-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,37,16,12,14,14,18,10,17,6,25,21,30,28,17,17,25,22,24,24,12,12,15,15,12,12
berlin-um-1750-wms,,,,,,,,,,,,,4,4,3,3,2,2,2,2,1,1,3,3,1,1,,,2,2,2,2,,,2,2,1,1,8,3,4,3,5,5,9,9,9,9,9,8,6,6,15,11
bundestagswahl-2017-berlin-nach-wahlbezirken-endgültiges-ergebnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,25,23,13,9,9,8,17,12,11,9,13,11
volkswirtschaftliche-gesamtrechnungen-berlin-und-brandenburg,3,2,7,6,3,3,4,3,9,6,4,4,4,4,17,14,10,10,12,12,9,6,10,8,21,18,11,10,15,13,14,11,9,9,26,21,26,9,26,14,11,11,7,7,12,9,12,11,5,5,5,4,13,11
zugriffsstatistik-datenberlinde,64,60,46,43,55,49,59,46,35,30,34,29,18,17,33,29,82,73,69,62,43,39,39,28,22,19,27,24,38,33,29,26,44,33,42,25,54,21,37,12,12,12,38,26,13,11,7,7,16,14,18,12,11,11
erwerbstätige-berlin-und-brandenburg,5,4,3,3,3,3,5,5,1,1,1,1,,,28,25,35,32,23,21,47,39,38,33,27,25,14,12,9,8,17,16,19,19,11,8,57,19,43,24,19,17,24,19,14,14,11,11,9,6,10,10,15,10
landesentwicklungsplan-hauptstadtregion-berlin-brandenburg-lep-hr-nebenkarte-wms,,,,,,,,,,,,,3,3,1,1,2,1,12,10,4,4,8,8,11,9,11,10,5,4,6,5,3,3,10,5,7,7,8,6,1,1,2,2,1,1,6,5,5,5,2,2,13,10
alkis-berlin-gebäude-wfs,,,,,,,,,,,,,4,4,11,11,22,20,12,10,5,4,19,17,19,16,17,14,17,15,14,13,11,11,31,13,26,8,29,12,2,2,8,6,2,2,4,4,7,7,8,6,13,10
energieverbrauchsübersicht-bezirklicher-gebäude-2019-bezirk-friedrichshain-kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,8,7,11,11,7,6,10,9,13,10
berlin-um-1940-atom,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10
wasserportal-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10
höhenlage-im-inspire-datenmodell-digitales-geländemodell-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,12,11,10,10,6,6,11,10
preisblatt-anschluss-niederspannung-berlin,15,14,12,8,11,10,6,6,11,10,10,10,15,15,11,11,15,12,9,9,7,6,17,15,9,8,8,8,10,9,16,15,14,14,13,12,10,8,2,2,2,2,2,2,2,2,2,1,9,9,8,8,11,10
verbraucherpreisindex-im-land-berlin-und-brandenburg,20,17,43,32,32,27,35,30,36,29,14,12,38,27,22,16,22,18,22,20,27,21,31,27,31,24,38,31,13,13,30,27,19,17,29,25,43,23,12,8,10,10,13,10,9,7,12,11,6,5,6,4,14,9
berlin-txl-gebäudedaten-bestand-und-planung-3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,34,86,66,32,19,28,24,12,12,12,11,14,9
verkehr-und-personenaufkommen-am-ernst-reuter-platz-0,11,10,24,15,37,33,21,20,13,13,40,38,13,13,21,20,28,26,34,28,15,13,33,25,14,14,22,20,18,17,20,17,9,9,13,9,16,6,7,5,15,14,20,19,9,8,7,6,10,9,2,2,13,9
covid-19-fälle-im-land-berlin-7tage-inzidenz-nach-altersgruppen-und-meldewochen-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,366,507,412,863,676,512,405,84,70,12,9
lebensweltlich-orientierte-räume-lor-berlin,15,13,22,20,28,22,24,22,22,21,26,23,32,30,20,18,18,15,13,13,25,20,25,22,28,25,18,17,16,16,19,17,25,23,22,16,34,17,27,14,23,18,17,15,16,15,22,16,13,10,12,11,12,9
berlin-um-1690-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9
eckdaten-allgemeinbildende-schulen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,35,28,14,36,20,4,4,9,7,19,14,10,10,11,10,6,5,11,9
luftbilder-1954-schrägaufnahmen-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,12,11,11,11,3,3,13,12,9,9
zuwendungsdatenbank,31,28,22,21,31,27,16,15,27,23,18,18,21,17,21,17,14,12,23,20,14,12,20,18,15,14,20,17,11,11,12,11,22,20,37,27,8,6,6,5,8,8,14,12,6,6,6,6,9,8,9,7,9,9
berliner-wasserbetriebe-wasseranalysedaten-der-wasserwerke,20,18,18,15,21,18,16,16,15,14,18,18,15,15,25,24,19,18,16,16,18,16,24,23,15,14,35,28,18,18,28,23,18,17,15,10,17,8,27,13,5,5,13,12,4,4,12,11,18,12,16,14,9,9
gebäude-und-vegetationshöhen-20092010-umweltatlas-wms-4,,,,,,,,,,,,,,,,,2,2,1,1,1,1,3,3,1,1,,,6,6,2,2,1,1,3,2,1,1,10,5,1,1,2,2,2,2,,,,,1,1,9,9
gastronomien-laden-und-andere-geschäfte-mit-liefer-und-abholservice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,402,147,118,28,22,46,23,17,8,21,11,11,11,41,36,43,38,28,24,11,10,9,9,9,9
bodengesellschaften-2015-umweltatlas-wms,,,,,,,,,,,,,3,2,7,6,4,4,11,10,7,7,12,11,7,7,5,3,19,16,16,13,13,11,17,10,32,15,15,8,5,5,8,8,11,10,8,7,4,4,11,10,9,9
digitale-topographische-karte-1-25-000-dtk25-wms-1,,,,,,,,,,,,,,,3,3,9,7,9,9,18,17,27,25,36,32,34,31,47,42,67,62,46,39,41,28,75,39,26,16,28,25,26,22,27,24,23,23,24,20,23,21,13,8
wochen-und-trödelmärkte-0,21,16,14,12,26,25,32,31,9,9,33,23,6,6,10,10,7,5,17,14,6,6,31,27,58,55,24,20,11,9,22,22,19,19,17,13,16,7,30,10,9,8,6,5,3,3,2,2,6,5,1,1,13,8
denkmalliste-des-landes-berlin,9,9,6,6,9,9,7,6,13,10,5,4,7,7,8,7,12,10,8,8,9,7,5,5,9,9,7,7,13,9,5,5,5,5,8,5,5,3,4,4,3,2,5,5,11,10,11,10,4,4,6,3,9,8
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,10,22,10,7,5,15,12,8,6,9,8,10,8,3,2,9,8
wasserportal-gewässerkundliche-messdaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8
alkis-berlin-ortsteil-wfs,,,,,,,,,,,,,2,2,7,6,5,5,2,2,3,3,9,8,21,18,9,8,6,6,9,9,9,9,7,4,13,8,18,6,3,3,4,4,2,2,3,3,5,4,5,5,9,8
alkis-berlin-gemarkung-wfs,,,,,,,,,,,,,9,9,11,10,12,10,16,14,4,4,3,3,12,11,6,5,9,7,10,8,11,11,23,14,26,11,13,6,5,3,9,7,3,3,6,6,6,5,19,15,9,8
liste-der-häufigen-vornamen-2018,1062,801,307,238,309,248,5426,3967,380,284,365,271,260,189,237,184,237,177,292,230,416,341,416,350,94,85,58,50,63,56,122,91,38,33,90,49,116,40,48,15,19,15,8,7,28,20,86,68,19,12,24,21,8,8
strat-lärmkarte-gesamtlärmindex-lden-tag-abend-nacht-raster-2017-umweltatlas-wms,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,4,4,1,1,4,2,,,1,1,3,2,3,1,2,2,2,2,,,1,1,1,1,2,2,8,8
luftbilder-1928-maßstab-14-000-atom,,,,,,,,,,,,,,,,,,,10,9,6,6,8,8,6,6,31,25,6,4,1,1,,,,,,,,,,,,,,,,,,,,,8,8
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-nach-wohndauer-am-31122019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,36,16,11,10,40,29,7,7,20,14,12,11,17,16,8,8
maßnahmeliste-verkehrswende-friedrichshain-kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,17,17,8,7,11,10,15,11,1,1,20,11,4,4,27,23,6,6,7,7,7,6,4,4,8,8
einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,36,17,54,23,15,12,22,19,10,10,16,13,17,13,8,8,8,8
branchenübersicht-0,9,9,9,9,20,19,18,16,11,9,12,11,13,12,12,6,8,7,14,11,9,9,11,10,5,4,10,9,22,19,9,7,20,16,9,8,7,3,17,11,7,7,11,11,8,7,7,6,11,10,6,6,8,7
karte-von-berlin-15000-k5-ausgabe-dxf,14,12,10,9,19,19,61,51,92,79,50,44,20,19,25,22,26,24,29,27,11,11,25,25,22,20,25,25,24,21,28,25,12,11,16,10,8,4,12,6,7,6,1,1,1,1,,,4,4,5,5,8,7
alkis-berlin-gebäude-linien-wfs,,,,,,,,,,,,,3,3,4,4,2,2,1,1,,,6,6,10,7,1,1,,,2,2,2,2,3,3,1,1,6,3,,,6,4,,,2,2,,,2,2,8,7
digitale-farbige-orthophotos-2020-dop20rgb-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,13,7,7
alkis-berlin-flur-wfs,,,,,,,,,,,,,2,2,6,6,9,8,3,3,1,1,17,17,18,14,2,2,3,3,3,3,10,10,9,5,1,1,7,2,2,2,2,2,,,1,1,,,1,1,7,7
wohnatlas-berlin-anteil-der-leistungsempf-nach-sgb-ii-2017-wms,,,,,,,,,,,,,4,4,5,5,4,3,7,7,1,1,16,14,3,3,3,3,3,3,1,1,4,4,1,1,2,1,4,3,2,2,3,1,3,3,3,2,1,1,2,2,7,7
digitale-color-infrarot-orthophotos-2020-dop20cir-sommerbefliegung-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
einschulbereiche-geometrien-schuljahr-20202021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,32,123,48,16,13,10,9,6,6,40,35,37,26,24,20,7,7
atkis-wohnbaufläche-offen-fläche-wfs,,,,,,,,,,,,,,,1,1,3,3,11,10,2,2,7,6,1,1,7,6,2,2,,,,,,,3,2,1,1,2,2,10,9,5,5,5,5,5,5,2,2,7,7
standorte-geförderter-kultureinrichtungen,2,2,7,7,10,10,8,7,11,10,6,6,4,4,5,5,8,8,7,6,10,10,10,10,7,7,7,7,6,6,2,2,4,4,3,3,,,15,8,2,2,4,4,3,3,4,4,3,3,2,2,7,7
liste-der-badestellen,29,26,8,8,20,19,14,14,75,68,102,92,32,26,32,29,14,14,14,13,8,7,11,11,10,9,8,7,28,22,28,21,28,27,28,20,52,24,25,17,10,8,6,6,4,4,1,1,20,16,6,6,7,7
übergeordnetes-straßennetz-bestand-wms-2,,,,,,,,,,,,,,,4,4,1,1,5,4,3,3,9,9,5,5,10,6,7,6,10,9,3,3,10,8,21,10,7,3,4,4,4,4,1,1,7,7,3,3,7,7,7,7
wochen-und-trödelmärkte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,7,7
blockkarte-15000-isu5-wms,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6
solaranlagen-pv-deckungsrate-pro-bezirk-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,,,,,,,,,,,2,1,,,,,,,,,8,6
tourismuszahlen-berlin-januar-2018,16,14,16,15,25,24,14,14,12,12,20,18,8,8,9,9,10,10,24,21,11,10,15,15,11,8,11,11,10,10,11,10,9,9,8,6,18,5,16,6,5,5,13,12,8,7,5,5,10,7,8,8,8,6
gebäudeschäden-1945-wfs,,,,,,,,,,,,,1,1,1,1,2,2,2,2,5,3,2,2,1,1,3,2,3,3,6,5,4,3,3,1,3,2,1,1,1,1,,,,,1,1,,,2,2,7,6
energieverbrauchsübersicht-bezirklicher-gebäude-bezirk-steglitz-zehlendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,7,7,3,3,6,4,2,2,5,3,3,2,2,2,1,1,3,3,7,6
liste-der-verbannten-bücher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,6
e-mobility-ladesäulen-berlin,,,,,,,,,,,,,,,,,,,49,45,22,21,12,12,29,21,21,13,23,22,4,4,8,4,2,2,4,2,4,2,,,24,16,15,11,8,5,1,1,6,4,7,6
genderstatistik-künstlerinnenförderung,2,2,8,7,3,3,4,4,1,1,3,3,1,1,,,3,3,5,5,4,4,3,3,3,3,2,1,2,2,4,4,1,1,1,1,5,2,15,2,,,7,6,1,1,7,5,4,3,1,1,7,6
gebäudealter-der-wohnbebauung-umweltatlas-wfs,,,,,,,,,,,,,2,2,6,6,8,7,4,4,3,3,3,3,2,2,5,5,3,3,2,2,1,1,3,1,6,3,8,4,1,1,7,5,1,1,3,3,1,1,1,1,7,6
