month,pi-boss,pv-boss,pi-webtrekk,pv-webtrekk
2019-12,26910,10927,20141,6729
2019-11,38042,14941,28219,8762
2019-10,31744,12904,23506,7525
2019-09,29167,11850,21637,7141
2019-08,30202,12890,23890,7722
2019-07,29547,13557,24228,8380
2019-06,27481,12424,21266,7835
2019-05,49313,23942,41094,16867
2019-04,29603,12549,23559,7820
2019-03,29914,12977,23903,8296
2019-02,30295,12937,24150,8133
